term,pos,schema definition / notes,comment,translation_es,comment_es,translation_es_MX,comment_es_MX,translation_es_CL,comment_es_CL,translation_es_UY,comment_es_UY,translation_es_GT,comment_es_GT,translation_es_BO,comment_es_BO,translation_es_EC,comment_es_EC,translation_es_PY,comment_es_PY,translation_es_AR,comment_es_AR,path
line item,Noun,,,partida,,partida,,Línea de producto,,item,,ITEM,APLICA SOLO A UN CAMPO ESPECIFICO,partida,item,partida,,ítem,,renglón,"el renglón contiene el item a contratar, cantidades y especificaciones en cada proceso.",#N/A
map,Verb,Action of matching the members of two lists.,,,,relacionar,,?,,mapeo,,,,,,,,,,mapeo,,#N/A
mapping,Noun,Activity of matching the members of two lists.,,,,relacionar,,Mapeo de modalidades,Match entre la modalidad del país y el estándar,mapear,,,,,,,,,,mapeo,,#N/A
mapping template,Noun,,i.e. a template to map data fields from one system to another system,,,Plantilla para mapeo de datos,,,,plantilla de mapeo,,,,,,,,,,template de mapeo de datos,,#N/A
milestone,Noun,,,,,hito,,hito,Estados de las documentos,hito,,ETAPAS,,Hito,hito,Hitos,,hito,,hito,,#N/A
monitoring,Noun,,"""There are two main approaches to fraud and corruption monitoring""",,,Seguimiento,,Monitoreo,,monitoreo,,MONITOREO,,monitoreo,supervisión,Supervisión,,,,monitoreo,,#N/A
open contracting,Noun,,,,,contrataciones abiertas,,,,compra o contratación abierta,,CONTRATACIONES ABIERTAS,,Contratación Abierta,contratación abierta,Contratación Abierta,,contrataciones públicas abiertas,,contrataciones abiertas,,#N/A
open contracting data,Noun,,"""Open contracting data can be used to scrutinize procurement documents""",,,datos de contrataciones abiertas,,,,datos de compra o contratación abierta,,DATOS DE CONTRATACIONES ABIERTAS,,Datos abiertos de contrataciones estatales,datos abiertos de contrataciones,Información referente a contratación abierta,,datos de contrataciones públicas abiertas,,datos de las contrataciones abiertas,,#N/A
open contracting data standard (OCDS),Noun,,,,,Estándar de Datos de Contrataciones Abiertas,,,,estándar de datos de compras o contrataciones abierto,,,,estándar de datos abiertos de contrataciones estatales,Estandar de contrataciones abiertas,Estandar de contrataciones públicas abiertas,,Estándar de Contrataciones Abiertas,,Estándar de datos abiertos,,#N/A
ownership,Noun,,"""A ‘systemic’ approach looks for suspicious patterns, and makes links between datasets to map out networks of funding, ownership and interests""",,,propiedad,,Propietarios,,dueño,,PROPIETARIO,,,propietario,,,,,propiedad,,#N/A
package,Noun,A set of OCDS releases or records.,,,,paquete,,,,,"No traduciría el término, es de uso bien específico en informática y se entiende mejor en inglés.",,,,,,,,,paquete,,#N/A
parties,Noun,Each of the parties (organizations or other participants) referenced in a release must be included in the parties section.,i.e. parties (organizations) involved in the contracting process,,,,,,,,,,,,,,,,,,,parties
payee,Noun,,,,,receptor,,Receptor del pago,,beneficiario,,BENEFICIARIO,,,,Acreedor,,,,,,#N/A
planning,Noun,,i.e. Planning stage of a contracting process,,,Planeación,,planificación,,planificación,,PLANEACION,,planeación,,Planeación,,,,Planeación,,planning
procurement,Noun,,"As in ""Value for money in procurement"".",,,contratación,,compras,,"compra, contratación",,contratacion,,adquisición,,Compra,,adquisición,,compras / contratación,,#N/A
procurement method,Noun,,,,,Método de contratación,"Especifica el método de contratación utilizando method codelist. Esta es una lista de códigos cerrada. Los tipos de procedimiento de contratación locales deberán relacionarse a uno de los valores de esta lista. La información más específica de los tipos de procedimiento de contratación locales, diferentes a los valores de la lista cerrada, deberán especificarse en el campo ""Detalles del tipo de procedimiento de contratación"".",Modalidad de contratación,,tipo de compra o contratación,,modalidad de contratacion,existen diferentes tipos de contratacion que les llamamos modalidad.,procedimiento de adquisición,,Tipo de procedimiento de compra,,tipo de procedimiento,método de selección o método de adquisición,procedimiento de selección,,tender/procurementMethod
procurement pipeline,Noun,,,,,Plan de contrataciones,,Lineas estrátegicas de compras,,,?,,,programa anual de contrataciones,,Fases de contratación /Plan Anual de Contrataciones,,,,Plan Anual de Contrataciones / Procedimientos Públicados / Procedimientos con Apertura Próxima,Es la planificación de procedimientos de contratación proyectados y/o los que están publicados.,#N/A
procuring agency,Noun,,,,,entidad contratante,,Organismo comprador,,agencia compradora o contratante,,entidad contratante,,entidad contratante,,Entidad contratante,,entidad compradora,,oficina de contratación,,#N/A
procuring entity,Noun,"The entity managing the procurement. This may be different from the buyer who pays for, or uses, the items being procured.",,,,,,,,,,,,,,,,,,,,#N/A
public contract,Noun,,,,,contrato público,,Contrato,,contrato público,,CONTRATACION PUBLICA,,contrato público,,Contrato de compra pública,,,,contrato público,,#N/A
public contracting,Noun,,"Synonym of ""public procurement""?",,,contratación pública,,,,contratación pública,,PROVEEDORES DEL ESTADO,,contratación pública,,contratación pública,,,,contratación pública,,#N/A
Public Private Partnership,Noun,,,,,asociación pública privada,,alianza público privada,Asociadas a acuerdos de colaboración,participación público privada,,ALIANZA PUBLICO PRIVADA APP,,,,Alianza público privada,,alianza público privadad,,asociación público - privada,,#N/A
public procurement,Noun,,"Synonym of ""public contracting""?",,,contratación pública,,compras públicas,,compra o contratación pública,,CONTRATACIONES PUBLICAS,,compras / contrataciones públicas,,Contratación pública,,compra pública,contratación pública,compras / contrataciones públicas,,#N/A
publication pattern,Noun,,,,,patrón de publicación,,Estándar de públicación,se refiere al nivel,patrón de publicación,,FORMA DE PUBLICACION,,,,Pistas de publicación,,,,patrones de publicación,,#N/A
publisher,Noun,,,publicador,,publicador,,publicador,,publicador,,ENTIDAD CONTRATANTE,,entidad contratante,,Entidad contratante,,publicador,,publicador,,#N/A
rationale,Noun,,,justificación,,justificación,,justificación,,justificación,,justificación,,justificación,,Necesidad / Justificación,,justificación,,justificación,,"planning/rationale,
tender/amendments/rationale,
awards/amendments/rationale,
contracts/amendments/rationale"
record,Noun,,record - data reflecting a snapshot of current state of a contracting process; it is created by merging releases,,,Registro,,registro,,,"No traduciría el término, es de uso bien específico en informática y se entiende mejor en inglés.",NUMERO DE OPERACION,,,,Estado del procedimiento,,,,registro,,#N/A
red flag,Noun,,i.e. red flag - as an indication that something is wrong,,,Bandera roja,,,,alerta,,,,,,Alerta,,,,alerta,,#N/A
relationship,Noun,,The relationship between two related contracting processes.,,,relación,,"Vinculación, relación",en el contexto de relación de datos,relación,,,,relación,,Relación,,,,relación,,"relatedProcesses/relationship,
contract/relatedProcesses/relationship"
release,Noun,,release - refers to data published to reflect updates on events in the contracting process,entrega,,Publicación,,entrega,,entrega,"No traduciría el término, idem. que record",NUMERO DE OPERACION,,entrega,,Publicación,,entrega,,entrega,,#N/A
restricted procedure,Noun,,,,,procedimiento restingido,,proceso excepcional,,procedimiento restringido,,proceso restingido,,,,Procedimiento reservado,,,,compulsa abreviada / adjudicación simple,,#N/A
reusable tools,Noun,,,,,Herramientas reutilizables,,,,herramientas reutilizables,,,,,,Herramientas ,,,,herramientas re-utilizables,,#N/A
review body,Noun,,,,,auditor,,cuerpo de revisión,"Experto, situación excepcional",cuerpo o grupo de revisión,,,,,,Ente rector de la compra pública,En el Ecuador se refiere al Servicio Nacional de Contratación Pública,,,comisión evaluadora,,#N/A
role,Noun,,The role played by a party in a contracting process.,,,función,,rol,,rol,,,,rol,,Parte,,,,rol,,#N/A
schema,Noun,,e.g. OCDS schema,,,Esquema,,,,,"No traduciría el término, es de uso bien específico en informática y se entiende mejor en inglés.",,,esquema,,esquema,,,,esquema,,#N/A
schema reference,Noun,"More or less synonym of ""documentation"".",,,,Documentación del esquema,,,,referencia al schema o schema de referencia,"No traduciría el término ""schema"", es de uso bien específico en informática y se entiende mejor en inglés.",CAMPO DE REFERENCIA,,,,,,,,esquema de referencia,,#N/A
service,Noun,,As opposed to the other types of deliverables that are goods and works.,,,servicio,,servicios,,servicio,,SERVICIO,,servicio,,Servicio,,servicios,,servicio,,#N/A
signatory,Noun,,,firmante,,firmante,,firmante,,firmante,,CONTRATISTA,,firmante,,firmante,,firmante,,firmante,,#N/A
standard,Noun,"""A rule or set of rules or requirements which are widely agreed upon or imposed by government."" (Wiktionary)",,estándar,,estándar,,estándar,,estándar,,estándar,,estándar,,estándar,,estándar,,estándar,,#N/A
standing offer,Noun,,"""There may be more than one award per contracting process e.g. because the contract is split among different providers, or because it is a standing offer.""",,,,,convenio de suministros,,,?,,,oferta vignte,,Oferta vigente,,,,oferta,,#N/A
status,Noun,,Status of a phase of a contracting process.,,,estatus,,estado,,estado,,Status de concurso,"el satatus para nosotros lo da el sistema, como adjdicado, desierto, en evaluacion",estado,,Estado ,,estado,,estado,,"planning/milestones/status,
tender/milestones/status,
contracts/implementation/milestones/status"
string,Noun,,,cadena,,cadena,,cadena,,cadena,"No traduciría el término, es de uso bien específico en informática y se entiende mejor en inglés.",cadena,,cadena,,cadena,,cadena,,cadena,,#N/A
subcontract,Noun,,,,,subcontratar,,subcontratación,,subcontrato,,,,subcontratación,,Subcontratación,,subcontrato,,sub-contrato,,#N/A
subcontractor,Noun,,,,,Subcontratistas,,subcontratista,,subcontratante,,SUBCONTRATACION,PARA GUATEMALA ES LA POSIBILIDAD QUE TIENE EL CONTRATISTA DE SUBCONTRATAR CIERTOS SERVICIOS PARA DAR CUMPLIMIENTO AL CONTRATO.,subcontratante,,Subcontratante,,subcontratado,,sub-contratista,,#N/A
supplier,Noun,,,proveedor,,Proveedor o contratista,,proveedor,,proveedor,, PROVEEDOR O CONTRATISTA,,proveedor,,proveedor,,proveedor,,proveedor,,#N/A
tag,Noun,,,,,Etiqueta,,etiqueta,,etiqueta,,,,,,,,,,etiqueta,,#N/A
